tmdb_id,overview,release_date,runtime,tmdb_rating,poster_path,backdrop_path,keywords,cast,director,movieId,title,genres
862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-11-22,81,7.988,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg,"rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, nostalgic, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toy, 3d animation, joyous, amused, comforting, pixar","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf",John Lasseter,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995-12-15,104,7.249,/bdHG5Mo83VPobeZZdlSz0Y7HQHB.jpg,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,"based on novel or book, giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, excited, joyful, vibrant","Kirsten Dunst, Bradley Pierce, Robin Williams, Bonnie Hunt, Jonathan Hyde, Bebe Neuwirth, David Alan Grier, Adam Hann-Byrd, Patricia Clarkson, Laura Bell Bundy",Joe Johnston,2,Jumanji (1995),Adventure|Children|Fantasy
15602,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1995-12-22,101,6.466,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg,"fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks","Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah, Burgess Meredith, Kevin Pollak, Katie Sagona, Ann Morgan Guilbert, James Andelin",Howard Deutch,3,Grumpier Old Men (1995),Comedy|Romance
31357,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1995-12-22,127,6.209,/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg,"based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert, Mykelti Williamson, Michael Beach, Leon, Wendell Pierce",Forest Whitaker,4,Waiting to Exhale (1995),Comedy|Drama|Romance
11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",1995-12-08,106,6.27,/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg,"daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, pregnant woman, contraception, gynecologist, pregnant","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin, BD Wong, Peter Michael Goetz, Kate McGregor-Stewart, Jane Adams",Charles Shyer,5,Father of the Bride Part II (1995),Comedy
949,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,1995-12-15,170,7.9,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,/xKsnZDERG1dk95wuZ5q9iks3OL3.jpg,"robbery, chase, suicide attempt, gangster, obsession, detective, heist, remake, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, ex-con, one last job, loner, bank job, neo-noir, crime epic, assertive, authoritarian, bold","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi",Michael Mann,6,Heat (1995),Action|Crime|Thriller
11860,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.",1995-12-15,127,6.214,/i8PbLJDPU7vCwwscWD625oHbJy.jpg,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg,"chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickinson, Lauren Holly, Dana Ivey, Miriam Colon",Sydney Pollack,7,Sabrina (1995),Comedy|Romance
45325,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",1995-12-22,97,5.311,/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg,"based on novel or book, mississippi river, male friendship, restless youth, rural americana","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane, Marian Seldes, Rachael Leigh Cook, Lanny Flaherty, Courtland Mead",Peter Hewitt,8,Tom and Huck (1995),Adventure|Children
9091,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,1995-10-27,111,6.042,/4Snihptli0we9I4W5QfufOdHSeV.jpg,/wPSHboBNEInknw4VnCWOD2D8qc2.jpg,"explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger, Dorian Harewood, Kate McNeil, Michael Gaston, Audra Lindley, Brian Delate",Peter Hyams,9,Sudden Death (1995),Action
710,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",1995-11-16,130,6.905,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg,"computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army, james bond, scary lady","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Tchéky Karyo, Gottfried John, Alan Cumming",Martin Campbell,10,GoldenEye (1995),Action|Adventure|Thriller
